Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,rsi_entry,rsi_exit,bb_std,exposure,acr_window,acr_factor
2013-08-02 05:57:00,2013-08-02 06:18:00,1.32115,1.32178,410758.9422895512,258.77813364237966,9303.347743739721,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-02 06:50:00,2013-08-02 06:59:00,1.32042,1.31993,422744.9331458046,-207.1450172413933,9096.202726498328,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-02 08:14:00,2013-08-02 08:29:00,1.32015,1.31953,413416.7811157063,-256.31840429167295,8839.884322206655,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-02 11:58:00,2013-08-02 12:07:00,1.32668,1.32749,399789.7453284886,323.82969371606674,9163.714015922722,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-02 13:33:00,2013-08-02 13:34:00,1.32719,1.32686,414275.9069578307,-136.71104929615186,9027.002966626571,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-02 14:39:00,2013-08-02 14:49:00,1.32775,1.32828,407923.3123687398,216.19935555539922,9243.20232218197,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-02 15:31:00,2013-08-02 15:47:00,1.32765,1.32796,417724.6558437225,129.49464331156756,9372.696965493538,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-04 19:03:00,2013-08-04 19:26:00,1.32746,1.32736,423637.48657557456,-42.36374865755279,9330.333216835985,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-04 19:29:00,2013-08-04 19:35:00,1.32734,1.32756,421760.8095967567,92.78737811133244,9423.120594947317,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-04 20:27:00,2013-08-04 20:32:00,1.32657,1.32713,426202.33813280787,238.6733093543272,9661.793904301645,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-04 23:01:00,2013-08-04 23:10:00,1.32725,1.32751,436773.50480926625,113.56111125037732,9775.355015552022,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-04 23:33:00,2013-08-05 00:02:00,1.32736,1.32755,441870.5557897792,83.95540560001936,9859.310421152042,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-05 03:01:00,2013-08-05 03:10:00,1.32659,1.32732,445924.2307488542,325.5246884467168,10184.835109598758,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-05 04:45:00,2013-08-05 04:58:00,1.32758,1.32858,460303.7907891995,460.303790789251,10645.138900388009,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-05 06:23:00,2013-08-05 06:36:00,1.32735,1.3271,481190.5933049162,-120.29764832626923,10524.841252061738,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-05 06:39:00,2013-08-05 07:14:00,1.32678,1.32618,475957.18591153336,-285.57431154699424,10239.266940514744,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-05 07:15:00,2013-08-05 07:18:00,1.32627,1.32597,463220.92517427425,-138.96627755226697,10100.300662962478,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-05 08:00:00,2013-08-05 08:01:00,1.32587,1.32553,457071.9902990101,-155.40447670166662,9944.896186260812,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-05 08:02:00,2013-08-05 08:05:00,1.32562,1.32531,450124.2974424411,-139.53853220717136,9805.357654053641,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-05 08:20:00,2013-08-05 08:34:00,1.32499,1.32442,444019.5467461781,-253.0911416453035,9552.266512408338,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-05 10:01:00,2013-08-05 10:03:00,1.32389,1.32331,432918.1357548589,-251.09251873782895,9301.173993670509,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-05 15:03:00,2013-08-05 15:24:00,1.32518,1.32585,421128.0276039712,282.155778494639,9583.329772165147,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-05 16:31:00,2013-08-05 16:40:00,1.32568,1.32558,433739.5045032804,-43.373950450323264,9539.955821714824,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-05 16:41:00,2013-08-05 16:47:00,1.32559,1.32539,431805.7237176573,-86.36114474352195,9453.594676971303,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-05 17:31:00,2013-08-05 17:38:00,1.32558,1.32593,427899.9989576473,149.76499963520757,9603.359676606511,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-05 18:31:00,2013-08-05 19:01:00,1.32568,1.32581,434646.0537960825,56.503986993474854,9659.863663599986,Signal Exit,35,55,1.75,0.6,20,1.5
2013-08-05 19:12:00,2013-08-05 19:14:00,1.32558,1.32552,437236.39449599356,-26.23418366973731,9633.629479930249,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-05 19:16:00,2013-08-05 19:19:00,1.32554,1.32536,436062.10962763475,-78.49117973290751,9555.13830019734,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-05 19:20:00,2013-08-05 19:29:00,1.32543,1.32528,432545.1347953799,-64.88177021934786,9490.256529977993,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-05 19:31:00,2013-08-05 19:42:00,1.32528,1.32521,429656.6701366349,-30.07596690957067,9460.180563068421,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-05 19:43:00,2013-08-05 19:44:00,1.32522,1.32531,428314.41857510846,38.548297671726985,9498.728860740148,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-05 21:10:00,2013-08-05 21:15:00,1.32597,1.32635,429816.46013439883,163.3302548509963,9662.059115591144,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-05 22:09:00,2013-08-05 22:24:00,1.32607,1.32639,437174.1664734657,139.8957332714548,9801.954848862599,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-06 00:00:00,2013-08-06 00:05:00,1.32616,1.32605,443473.8575524491,-48.78212433079357,9753.172724531805,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-06 00:09:00,2013-08-06 00:19:00,1.32606,1.32595,441300.06445553614,-48.543007090133024,9704.629717441672,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-06 00:20:00,2013-08-06 00:21:00,1.32596,1.32586,439136.7635875142,-43.91367635874658,9660.716041082926,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-06 00:22:00,2013-08-06 00:32:00,1.32586,1.32614,437182.63049264293,122.41113653796536,9783.12717762089,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-06 01:37:00,2013-08-06 01:47:00,1.32524,1.32489,442929.3038674153,-155.02525635362744,9628.101921267264,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-06 02:21:00,2013-08-06 02:32:00,1.32493,1.32463,436012.5555886242,-130.80376667657285,9497.298154590691,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-06 06:54:00,2013-08-06 06:57:00,1.32758,1.32738,429230.5467658758,-85.84610935316572,9411.452045237525,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-06 07:12:00,2013-08-06 07:18:00,1.32673,1.32749,425623.24113742175,323.47366326448054,9734.925708502005,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-06 11:27:00,2013-08-06 11:57:00,1.33027,1.32936,439080.44420314697,-399.56320422484896,9335.362504277156,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-06 11:58:00,2013-08-06 12:00:00,1.32964,1.32916,421258.19790065684,-202.20393499233043,9133.158569284826,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-06 12:02:00,2013-08-06 12:29:00,1.3283,1.32927,412549.5100181356,400.17302471755664,9533.331594002382,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-06 14:31:00,2013-08-06 14:41:00,1.33018,1.3305,430016.91172634007,137.60541175247096,9670.937005754853,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-06 18:09:00,2013-08-06 18:25:00,1.33035,1.33075,436168.091363394,174.46723654543524,9845.404242300288,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-06 22:58:00,2013-08-06 23:05:00,1.32927,1.3296,444397.49226117885,146.651172446163,9992.055414746452,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-06 23:50:00,2013-08-06 23:52:00,1.3292,1.32953,451040.71989526565,148.8434375655114,10140.898852311962,Take Profit,35,55,1.75,0.6,20,1.5
