Prob,Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,SL,TP,sl,tp,rsi_entry,rsi_exit,bb_std,exposure
0.5122,2013-08-05 19:22:00,2013-08-05 19:26:00,1.32538,1.32539,70144.46464305285,0.701445,1550.1692871232585,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.6651,2013-08-05 19:31:00,2013-08-05 19:36:00,1.32528,1.3253,70181.51426671761,1.40363,1551.5729174085866,Signal Exit,0.006,0.03,0.006,0.02,35,55,1.75,0.6
0.5662,2013-08-05 19:38:00,2013-08-05 19:40:00,1.32531,1.3253,70243.47137236962,-0.702435,1550.8704826948583,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5828,2013-08-05 19:42:00,2013-08-05 19:43:00,1.32521,1.32522,70216.96860247923,0.70217,1551.5726523808878,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5721,2013-08-05 21:10:00,2013-08-05 21:19:00,1.32597,1.32649,70208.4957750577,36.508418,1588.0810701839075,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5202,2013-08-05 22:09:00,2013-08-05 22:12:00,1.32607,1.32617,71855.0786994913,7.185508,1595.266578053856,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5688,2013-08-06 00:00:00,2013-08-06 00:02:00,1.32616,1.32616,72175.29912169825,0.0,1595.266578053856,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5178,2013-08-06 00:09:00,2013-08-06 00:11:00,1.32606,1.32604,72180.74195981429,-1.443615,1593.8229632146663,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5326,2013-08-06 00:12:00,2013-08-06 00:14:00,1.32604,1.32605,72116.510657959,0.721165,1594.5441283212347,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.568,2013-08-06 00:15:00,2013-08-06 00:18:00,1.32606,1.32597,72148.05340578411,-6.493325,1588.0508035147195,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5737,2013-08-06 00:20:00,2013-08-06 00:21:00,1.32596,1.32586,71859.6701340034,-7.185967,1580.86483650132,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5248,2013-08-06 00:22:00,2013-08-06 00:25:00,1.32586,1.32587,71539.89877519436,0.715399,1581.5802354890766,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5275,2013-08-06 00:27:00,2013-08-06 00:33:00,1.32585,1.32596,71572.81301002722,7.873009,1589.4532449201836,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5201,2013-08-06 01:37:00,2013-08-06 01:41:00,1.32524,1.32537,71962.20661556475,9.355087,1598.8083317802043,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5252,2013-08-06 01:47:00,2013-08-06 01:48:00,1.32489,1.32476,72404.8788252702,-9.412634,1589.3956975329218,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5344,2013-08-06 02:21:00,2013-08-06 02:23:00,1.32493,1.3253,71976.4378887755,26.631282,1616.0269795517675,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5599,2013-08-06 06:54:00,2013-08-06 06:56:00,1.32758,1.32748,73036.36599911572,-7.303637,1608.7233429518567,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5212,2013-08-06 07:12:00,2013-08-06 07:13:00,1.32673,1.32707,72752.85896686696,24.735972,1633.459315000592,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5299,2013-08-06 11:27:00,2013-08-06 11:28:00,1.33027,1.33057,73674.93734357349,22.102481,1655.5617962036615,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5299,2013-08-06 11:58:00,2013-08-06 11:59:00,1.32964,1.32935,74707.21982808858,-21.665094,1633.8967024535232,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5195,2013-08-06 12:00:00,2013-08-06 12:02:00,1.32916,1.3283,73756.2085431486,-63.430339,1570.4663631064257,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.6631,2013-08-06 14:31:00,2013-08-06 14:34:00,1.33018,1.33023,70838.51943826064,3.541926,1574.0082890783463,Signal Exit,0.006,0.03,0.006,0.02,35,55,1.75,0.6
0.6144,2013-08-06 18:09:00,2013-08-06 18:10:00,1.33035,1.33038,70989.21136896363,2.129676,1576.1379654194134,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.523,2013-08-06 22:58:00,2013-08-06 23:01:00,1.32927,1.3293,71143.01678753362,2.134291,1578.2722559230376,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5791,2013-08-06 23:50:00,2013-08-06 23:51:00,1.3292,1.3292,71243.10514247838,0.0,1578.2722559230376,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
