combination_index,mean_final_cash,var_final_cash,mean_drawdown,var_drawdown,mean_rank,consistency_score
2088,669.9481211475103,1578340.1214565895,-882.2071214113084,31471.549320544655,10100.833333333334,-896067.417941013
465,1606.935131061751,1662498.9840814746,-268.84806902255235,55648.45005618848,5549.166666666667,-896344.5680082868
11785,1606.935131061751,1662498.9840814746,-268.84806902255235,55648.45005618848,5552.0,-896372.9013416201
6216,1600.6840607938504,1667301.181662795,-264.2678233014021,36471.72954044557,5713.333333333333,-896556.8663590165
8720,2599.509230487821,1720347.008914197,-92.79157742224174,3566.471812703449,3882.4166666666665,-897139.2937290447
9400,2599.509230487821,1720347.008914197,-92.79157742224174,3566.471812703449,3883.4166666666665,-897149.2937290447
9880,2599.509230487821,1720347.008914197,-92.79157742224174,3566.471812703449,3884.4166666666665,-897159.2937290447
10360,2599.509230487821,1720347.008914197,-92.79157742224174,3566.471812703449,3885.4166666666665,-897169.2937290447
10840,2599.509230487821,1720347.008914197,-92.79157742224174,3566.471812703449,3886.4166666666665,-897179.2937290447
3248,663.8052257327943,1585657.615800231,-884.1691254473826,31669.726378483476,10165.666666666666,-900420.8653543803
7275,1098.5656101508587,1649295.540941828,-584.7834349956618,25185.3913253858,7211.583333333333,-900877.5514896724
3275,1109.693204422801,1620715.8234580217,-605.3605927119485,81205.98892694747,7676.5,-902436.0244877911
6441,730.2140676233439,1609171.8045821302,-914.1485199859253,9752.406940784704,9636.5,-902445.4141675944
2795,1109.044282790827,1622108.0287663946,-605.2140264904264,81091.66812640821,7680.5,-903149.8679336353
2115,1107.668601076857,1623282.462296839,-606.0506509064835,80662.64659401515,7678.583333333333,-903633.7403947511
1608,686.5841936961939,1592781.1044970162,-877.2978435376145,33534.576724830076,10100.833333333334,-903682.4060861726
3550,2460.9777299509237,1736184.3339221852,-131.24393549823503,9447.87555246144,3907.25,-906632.6375222835
4030,2460.9777299509237,1736184.3339221852,-131.24393549823503,9447.87555246144,3908.25,-906642.6375222835
4710,2460.9777299509237,1736184.3339221852,-131.24393549823503,9447.87555246144,3909.25,-906652.6375222835
5190,2460.9777299509237,1736184.3339221852,-131.24393549823503,9447.87555246144,3910.25,-906662.6375222835
5670,2460.9777299509237,1736184.3339221852,-131.24393549823503,9447.87555246144,3911.25,-906672.6375222835
6806,2492.9402249294503,1741109.081769526,-94.94768659389605,3361.1598851908134,3955.5833333333335,-908318.1502761833
7286,2492.9402249294503,1741109.081769526,-94.94768659389605,3361.1598851908134,3956.5833333333335,-908328.1502761833
7766,2492.9402249294503,1741109.081769526,-94.94768659389605,3361.1598851908134,3957.5833333333335,-908338.1502761833
8246,2492.9402249294503,1741109.081769526,-94.94768659389605,3361.1598851908134,3958.5833333333335,-908348.1502761833
5963,528.6970925582448,1601535.302891872,-977.3589464737615,1972.380069954739,10825.916666666666,-909185.8047179774
5483,528.6970907147097,1601535.3050184273,-977.3589483172967,1972.3801610226064,10826.25,-909189.1391351987
5003,528.6966795399039,1601535.7778691417,-977.3591807152983,1972.3911808052217,10828.083333333334,-909207.71157874
4323,528.593083404793,1601643.4429125942,-977.3943954425364,1973.4921026611862,10834.5,-909326.0451120574
3796,2593.7636713756624,1743940.5682918893,-156.6325103744987,22841.113004843453,3602.4166666666665,-910015.8994953166
8460,682.148499846895,1610461.3085488759,-948.3314363620187,7426.036960008627,10375.0,-910068.2125975013
7980,682.1484868395758,1610461.3279079609,-948.3314472967537,7426.038192681916,10376.5,-910083.2225398662
7500,682.1484825331728,1610461.3343172774,-948.3314509169751,7426.038600790297,10376.75,-910085.7258315387
7020,682.1484755393984,1610461.344726271,-948.3314567963627,7426.039263575686,10377.166666666666,-910089.8978440168
6126,2490.324853392601,1745134.132949648,-94.94768659389605,3361.1598851908134,3957.5833333333335,-910353.2912377812
4386,1815.658416209556,1707435.5433939921,-292.82873336905965,35910.651398634844,5144.166666666667,-910613.7588471909
4276,2593.0706319659607,1745908.3617384138,-156.85339156961615,23049.046212904956,3603.6666666666665,-911054.6421639594
4956,2593.0706319659607,1745908.3617384138,-156.85339156961615,23049.046212904956,3604.6666666666665,-911064.6421639594
5436,2593.0706319659607,1745908.3617384138,-156.85339156961615,23049.046212904956,3605.6666666666665,-911074.6421639594
5916,2593.0706319659607,1745908.3617384138,-156.85339156961615,23049.046212904956,3606.6666666666665,-911084.6421639594
8469,1095.123450605415,1652164.6267780513,-631.2566720154769,60724.7780187847,7564.333333333333,-912964.8558771152
5546,1813.5407538838233,1713556.9912087834,-288.35758731693693,32161.057967763103,5154.083333333333,-913024.507053589
7989,1094.6553630360636,1653159.4837783067,-631.7247595848281,60977.796096809114,7568.333333333333,-913553.496506688
2206,932.1950552108666,1637044.6173620059,-626.6545409665918,75373.2017159341,8072.083333333333,-913573.5836646023
7509,1093.8951696689585,1654786.377029233,-632.4849529519332,61399.91258145182,7575.833333333333,-914527.3546804568
5066,1811.2308438198224,1720356.8899469331,-290.0615035999583,33533.41506057846,5163.333333333333,-916794.2489261758
1369,879.5072141759609,1655093.0835827426,-845.5595073298987,29419.909957763284,8570.333333333334,-918508.0177542802
5871,732.2731843873657,1636030.6611138373,-891.7572853330981,21758.024617502906,9757.583333333334,-919478.0228149651
1849,877.0054567345704,1657447.8172402082,-845.273169149117,29338.183270742033,8552.0,-919488.1217682627
5391,732.2713585076863,1636033.5770087296,-891.7591112127775,21758.454538822538,9759.75,-919501.2357869854
4911,732.2683932043707,1636038.3127118417,-891.7620765160931,21759.152919126052,9762.0,-919526.2471694966
2330,1574.1625636432718,1705660.2327592925,-325.3004648231882,50489.43613102874,5812.333333333333,-919574.7645149891
3009,876.853628631813,1657737.6365959505,-845.4249972518743,29388.739659001007,8596.166666666666,-920085.0067669859
2529,876.8462599670447,1657751.7164592473,-845.4323659166427,29391.20738615909,8598.833333333334,-920119.2164899968
536,1682.1725174884386,1727393.4523357206,-226.01136045493925,16646.57856841484,5554.416666666667,-920955.8394388579
11048,1387.3759390772718,1680430.2854973918,-643.2621234944039,72387.91923424591,6831.75,-921815.8292935161
10936,1651.5966942163714,1722864.1381145797,-263.3351116203249,29891.484308603973,5618.833333333333,-922026.1030916137
3906,1807.0350366635657,1730836.8613812076,-294.6503113902947,37575.81579152681,5177.166666666667,-922986.6205723294
4568,1394.004189599774,1684271.8097894853,-643.8098069289359,72737.21596018053,6837.25,-923854.9868392576
